name,url,image,startDate,endDate,description,description_fr,location,city,region,page,region_abbr
Pendleton Whisky Music Fest 2025,https://www.musicfestivalwizard.com/festivals/pendleton-whisky-music-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2021/12/Pendleton-Whisky-Music-Fest-Hero.jpg,2025-07-12,2025-07-12,It's one big day of whiskey and country and rock at the Pendleton Whisky Music Fest. ,,Pendleton Round Up Stadium,Pendleton,Oregon,1,OR
Pleasantville Music Festival 2025,https://www.musicfestivalwizard.com/festivals/pleasantville-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/01/Pleasantville-Music-Festival.jpg,2025-07-12,2025-07-12,"Pleasantville Music Festival is for lovers of live, world-class rock, food and drinks. There will be a beer & wine garden for the adults, fun activities to keep the kids happy, and a zero-waste program to keep the Earth happy. Plus stuff to buy, charities to learn about, and a warm, positive backyard vibe all combined with world-class headliners, breakout stars and local artists, hand-picked by dedicated music fans.",,Parkway Field,Pleasantville, New York,1,
Reggae On The Way 2025,https://www.musicfestivalwizard.com/festivals/reggae-on-the-way-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/06/Reggae-On-The-Way-2025-Lineup-Poster.jpg,2025-07-12,2025-07-12,"This annual reggae inspired festival showcases a rich tapestry of reggae genres, from roots to dancehall, Hawaiian, and American reggae in the stunning backdrop of the Pacific Northwest.",,LeMay ACM Haub Field,Tacoma,Washington,1,WA
Rockin’ Thunder Fest 2025,https://www.musicfestivalwizard.com/festivals/rockin-thunder-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/Rockin-Thunder-2025-Lineup-Poster.jpg,2025-07-11,2025-07-12,,,Exhibition Lands Racetrack,Edmonton,Alberta,1,AB
Subset Festival 2025,https://www.musicfestivalwizard.com/festivals/subset-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/05/Subset-Festival-2025-Lineup-Poster.png,2025-07-12,2025-07-12,,,Tägi,Wettingen, Switzerland,1,
The Peacock Society 2025,https://www.musicfestivalwizard.com/festivals/the-peacock-society-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/03/The_Peacock_Society_Logo.png,2025-07-11,2025-07-12,"One of the most famous electronic festivals in France, The Peacock Society brings 25,000 attendees to the beautiful Parc Floral de Paris.",,Parc Floral de Paris,Paris, France,1,
Werchter Boutique 2025,https://www.musicfestivalwizard.com/festivals/werchter-boutique-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/11/Werchter_Boutique.png,2025-07-12,2025-07-12,"Unlike its wilder older sibling (the legendary Rock Werchter Festival), Werchter Boutique is a breath of relaxing fresh air. Only taking place over a single day, this is a festival for connoisseurs who value quality over quantity -- or who simply need a warmup for the massive four-day festival on the horizon.  ",,Festivalpark,Werchter, Belgium,1,
Wobble Coliseum 2025,https://www.musicfestivalwizard.com/festivals/wobble-coliseum-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Wobble-Coliseum-2025-Lineup-Poster.jpg,2025-07-11,2025-07-12,"Wobble Coliseum 4 is Back with Big Gigantic, Zingara, Ganja White Night and more! ",,Hampton Coliseum,Hampton,Virginia,2,VA
A State Of Trance London 2025,https://www.musicfestivalwizard.com/festivals/a-state-of-trance-london-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/A-State-of-Trance-London-2025-Lineup-Poster.jpg,2025-07-13,2025-07-13,,,Silverworks Island,London,United Kingdom,2,UK
Also Festival 2025,https://www.musicfestivalwizard.com/festivals/also-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/05/Also-Festival-Featured-Image.jpg,2025-07-11,2025-07-13,"ALSO is the multi award-winning Warwickshire festival set in a stunning Capability Brown landscape for festival-goers to explore, swim, relax and let ideas run wild. Curious, clever and creative, ALSO collabs with the UK’s best experts, authors and speakers as well as offering a highly curated, exquisitely produced programme of talks, panels, immersive events, comedy, music, wellness and adventures in food.",,Park Farm,Warwickshire,United Kingdom,2,UK
Audioriver 2025,https://www.musicfestivalwizard.com/festivals/audioriver-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/04/Audioriver_Logo.jpg,2025-07-11,2025-07-13,"'The three-day Audioriver festival is the perfect event for anyone interested in upfront, quality electronic music. In the past ten years the event has hosted hundreds of artists from all over the world, who have performed either on the picturesque beach or in Plock’s Old Market Square. More than a 175,000 punters from all parts of the World have visited the fest, while the last edition gathered over 25,000 people.'",,Łódzkie Błonia,Łódź, Poland,2,
Awakenings Summer Festival 2025,https://www.musicfestivalwizard.com/festivals/awakenings-summer-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/01/Awakenings_Logo.jpg,2025-07-11,2025-07-13,"After a successful debut, the epic Awakenings Festival returns with a spectacular, summertime camping experience not to be missed. Featuring the best of European techno and dance artists, this is an incredible introduction into the Dutch festival scene. ",,Hilvarenbeek,Hilvarenbeek, Netherlands,2,
Bospop 2025,https://www.musicfestivalwizard.com/festivals/bospop-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2021/12/Bospop-Hero.jpg,2025-07-11,2025-07-13,"Bospop is an old-fashioned cozy pop-rock festival that has existed since 1980. It started as a small-scale festival for amateur bands in particular, but has since grown into a music spectacle with bands of international allure. ",,Weert Noord,Weert, Netherlands,2,
BRT Roadtrip 2025,https://www.musicfestivalwizard.com/festivals/brt-roadtrip-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/BRT-Weekend-2025-Lineup-Poster.jpg,2025-07-11,2025-07-13,Beach Road Trip Weekend was created in 2012 and is inspired by Caribbean culture. ,,Goldfish Beach Club,Atlantic City,New Jersey,2,NJ
Cactus Festival 2025,https://www.musicfestivalwizard.com/festivals/cactus-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/03/Cactus_Festival_Logo.png,2025-07-11,2025-07-13,"Cactusfestival in Bruges keeps it simple with only a single stage to help fans avoid dreaded schedule conflicts and an intimate experience, only allowing an attendance of 25,000. Focused on rock and alternative music, Cactusfestival has been delivering this intimate vibe since 1982. ",,Minnewaterpark,Brugge, Belgium,2,
Dead of Summer Festival 2025,https://www.musicfestivalwizard.com/festivals/dead-of-summer-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/01/Dead-of-Summer-2025-Lineup-Poster.jpg,2025-07-11,2025-07-13,Calling all hippies! Vermont is the ideal place to celebrate the Grateful Dead and you can enjoy a wonderful camping weekend of jam music and good times. ,,Hunter Park,Manchester,Vermont,2,VT
Electric Bay 2025,https://www.musicfestivalwizard.com/festivals/electric-bay-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/01/Electric-Bay-Hero.jpg,2025-07-12,2025-07-13,This open air dance music festival hosts two days of dance music and notable production.,,Torre Abbey Meadows,Torquay,United Kingdom,2,UK
Four Winds Music Fest 2025,https://www.musicfestivalwizard.com/festivals/four-winds-music-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Four-Winds-Featured-Image.jpg,2025-07-11,2025-07-13,Four Winds Music Fest is a 3-day music festival showcasing artists from diverse cultural backgrounds and various musical genres. This family-friendly festival takes place at Riverstone Retreat.,,Riverstone Retreat,Durham,Ontario,2,ON
Les Nuits Secrètes 2025,https://www.musicfestivalwizard.com/festivals/les-nuits-secretes-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/10/Les_Nuits_Secretes_Logo.jpg,2025-07-11,2025-07-13,"For three days, the tiny town of Aulnoye-Aymeries (1 hour away from Lille) is filled with 45,000 festies. The secret of this festival? More than 70 concerts and secret shows at one of the most reasonable prices of the summer. Lots of big names for a great price at Secret Nights. ",,Various Venues,Aulnoye-Aymeries, France,2,
Levitate Festival 2025,https://www.musicfestivalwizard.com/festivals/levitate-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/01/Levitate-Logo-e1484826297913.jpg,2025-07-12,2025-07-13,"This grassroots music and arts festival features roots, reggae, folk, rock, and funk. The organizers, a community oriented surf/skate shop, started the festival as an anniversary party in 2013, but it became such a success, it’s now an annual New England event. Held just 30 minutes south of Boston, the festival is an excellent reason to get out of the city for the weekend! ",,Marshfield Fair Grounds,Marshfield,Massachusetts,2,MA
Lollapalooza Berlin 2025,https://www.musicfestivalwizard.com/festivals/lollapalooza-berlin-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/10/Lollapalooza_Logo.jpg,2025-07-12,2025-07-13,"Since its inception in 1991, Lollapalooza has continued to grow from it’s U.S. based festival circuit to additional cities in countries across the globe. As the first European city to host Lollapalooza outside of the U.S., Berlin began its entrance into the Lollapalooza festival tour in 2015, and has since grown to over 70,000 attendees. ",,Olympiapark Berlin,Berlin, Germany,2,
Love Family Park 2025,https://www.musicfestivalwizard.com/festivals/love-family-park-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/12/Love_Family_Park_2016_Logo.jpg,2025-07-12,2025-07-13,"Love Family Park takes place in Rebstockpark. The single day festival is a techno lover's dream with music running from morning until sunset, dipping into all the sub-genres along the way. Huge names lead the lineup, but festies have a chance to see some of the real up and comers of the scene at Love Family Park.",,Rebstockpark,Frankfurt, Germany,2,
Mosswood Meltdown 2025,https://www.musicfestivalwizard.com/festivals/mosswood-meltdown-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/11/Vito-Valentinetti-Parkpop-2019-19.jpg,2025-07-12,2025-07-13,"Hosted by filmmaker John Waters, Burger Boogaloo is an eclectic music festival quoted by Waters himself as 'the perfect cult gathering of young and old music rebels who hate everybody in the world except each other.' The festival is hosted at the historic Mosswood Park in Oakland, California and has been on the festival circuit for over a decade.",,Mosswood Park,Oakland,California,2,CA
Mostly Jazz Funk & Soul Festival 2025,https://www.musicfestivalwizard.com/festivals/mostly-jazz-funk-soul-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/05/Mostly-Jazz-Funk-Soul-2023-Featured-Image.jpg,2025-07-11,2025-07-13,"'A diverse, vibrant festival, celebrating ground-breaking, innovative UK music alongside international trailblazers. Showcasing unsigned acts right next to well-established international artists makes for a really exciting bill. We’re a festival for all, having one of the most diverse festival crowds with plenty for you to discover.'",,Moseley Park,Birmingham,United Kingdom,2,UK
North Atlantic Blues Festival 2025,https://www.musicfestivalwizard.com/festivals/north-atlantic-blues-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/01/North-Atlantic-Blues-Festival-Logo.jpg,2025-07-12,2025-07-13,"The North Atlantic Blues Festival is an annual two-day blues music festival featuring national blues performers and considered one of the most prestigious on the East Coast. The festival is held at the Public Landing in Rockland, Maine, overlooking the picturesque Rockland Harbor.",,Public Landing,Rockland,Maine,2,ME
North Sea Jazz Festival 2025,https://www.musicfestivalwizard.com/festivals/north-sea-jazz-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/03/North_Sea_Jazz_Festival_Logo.jpg,2025-07-11,2025-07-13,"Since 1976, the North Sea Jazz Festival has been entertaining The Netherlands with jazz legends and Dutch artists. 75,000 attendees gather in Rotterdam to more than 1,000 musicians and 150 performances over 15 states. The diverse amount of music means that there's something for everyone in this wildly diverse selection of artists. ",,Ahoy Rotterdam,Rotterdam, Netherlands,2,
Northwest Tune-Up Festival 2025,https://www.musicfestivalwizard.com/festivals/northwest-tune-up-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/10/Northwest-TuneUP-Hero.jpg,2025-07-11,2025-07-13,"The Northwest Tune-Up is a bike, beer and music festival held in celebration of PNW culture. This three-day event showcases the beauty of the region and everything it has to offer. Whether exploring world-class mountain bike singletrack, enjoying each evening’s lineup of live music on Bellingham’s waterfront or indulging in the best beers from across the Northwest, the Tune-Up has something for everyone.",,Waypoint Park,Bellingham,Washington,3,WA
Oregon Country Fair 2025,https://www.musicfestivalwizard.com/festivals/oregon-country-fair-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/03/Oregon-Country-Fair-Logo.jpg,2025-07-11,2025-07-13,"The Oregon Country Fair creates events and experiences that nourish the spirit, explore living artfully and authentically on earth, and transform culture in magical, joyous and healthy ways. Started in 1969 as a benefit for an alternative school, the OCF has a rich and varied history of alternative arts and performance promotion, educational opportunities, land stewardship and philanthropy.",,Oregon Country Fair Grounds,Veneta,Oregon,3,OR
Ostend Beach Festival 2025,https://www.musicfestivalwizard.com/festivals/ostend-beach-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/10/Ostend_Beach_Festival_Logo.png,2025-07-12,2025-07-13,"Celebrating ten years as one of Belgium's premier electronic festivals, Ostend Beach is set against the coastline with plenty of sandy space for dancing your face off. Nearly 80 acts will compete for your attention over this three day seaside festival. ",,Klein Strand,Ostend, Belgium,3,
Rockwave Festival 2025,https://www.musicfestivalwizard.com/festivals/rockwave-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2012/02/Rockwave_Festival_Logo.png,2025-07-13,2025-07-13,"Rockwave Festival is music, dance, headbanging, air-guitar, amplifiers, mics, but above all, Rockwave Festival is the moments and memories fans make. It's also an open-air camping festival that takes place right outside of Athens. ",,Terra Vibe Park,Oropos, Greece,3,
Sound And Fury 2025,https://www.musicfestivalwizard.com/festivals/sound-and-fury-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/03/Sound-and-Fury-Featured-Image.jpg,2025-07-12,2025-07-13,"Sound and Fury Festival is a high-energy hardcore and punk music festival held annually in Los Angeles. It showcases both legendary and emerging bands from the underground scene. Known for intense live sets and a passionate crowd, it’s a staple event for hardcore fans.",,Exposition Park,Los Angeles,California,3,CA
Square Roots Festival 2025,https://www.musicfestivalwizard.com/festivals/square-roots-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/02/Square-Roots-Logo-2.jpg,2025-07-11,2025-07-13,"Square Roots Festival brings together the community of Lincoln Square, Chicago, and beyond, with a lineup of live music, family fun, local restaurants, vendors, and a craft beer showcase.",,Lincoln Square,Chicago,Illinois,3,IL
Stone Techno Festival 2025,https://www.musicfestivalwizard.com/festivals/stone-techno-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/05/Stone-Techno-Festival-2025-Lineup-Poster.png,2025-07-11,2025-07-13,,,UNESCO World Heritage Zollverein,Essen, Germany,3,
Tiree Music Festival 2025,https://www.musicfestivalwizard.com/festivals/tiree-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/11/Tiree-Music-Festival-2025-Lineup-Poster.jpg,2025-07-11,2025-07-13,"Tiree Music Festival is a music festival and an island adventure. Festival fans will enjoy live music, white sands, world-famous surf. deserted roads lined with lush greenery and wild flowers and lots of sunshine.",,Crossapol,Crossapol,United Kingdom,3,UK
TRNSMT 2025,https://www.musicfestivalwizard.com/festivals/trnsmt-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/09/TRNSMT_Festival_Logo.jpg,2025-07-11,2025-07-13,"Scotland's newest mega-festival moved into Glasgow to fill the void left by the legendary T in the Park. Now stretching over two weekends, TRNSMT has already made a name for itself by assembling a world-class roster of talent along with multiple UK exclusives.  ",,Glasgow Green,Glasgow, Scotland,3,
Ultra Europe 2025,https://www.musicfestivalwizard.com/festivals/ultra-europe-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/12/Ultra_Logo.jpg,2025-07-11,2025-07-13,"Hosted every year on the idyllic Dalmatian Coast in Croatia, the European edition of the massively popular Ultra Festival has become one of the largest electronic festivals on the continent. The multi-venue event is known for changing up venues around Split, so expect everything from a massive stadium to intimate beach parties.",,Mladeži Park,Split, Croatia,3,
Wireless Festival 2025,https://www.musicfestivalwizard.com/festivals/wireless-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/03/Wireless_Logo-e1457714093843.jpg,2025-07-11,2025-07-13,"It's London's ultimate summer music festival. Every year, the Wireless Festival brings an epic-sized lineup to Finsbury Park with past artists including New Order, The Strokes, Daft Punk, Jay-Z, Morrisey, Kanye West, and LCD Soundsystem.",,Finsbury Park,London,United Kingdom,3,UK
Bass Coast 2025,https://www.musicfestivalwizard.com/festivals/bass-coast-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/10/Bass_Coast_Logo.jpg,2025-07-11,2025-07-14,"Don’t call it a rave. Bass Coast is a DIY indie electronic festival that thrives on the natural beauty of its British Columbia location and strong roster of local and international talent. This festival encourages artists to experiment and “share their hard work without fear of judgment”.  The boutique event has cemented its reputation as a home for creatives with incredible art installments, panel discussions, and a thoughtful venue layout. ",,Nicola Valley,Merritt,British Columbia,3,BC
Day & Night Festival 2025,https://www.musicfestivalwizard.com/festivals/day-night-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/11/Day-and-Night.png,2025-07-14,2025-07-17,"After a 10-year absence the famous Day & Night Festival returns to Zrće Beach promising to be crazier than ever. Boat parties, clubbing until dawn, and the best of electronic music will meet you on the beaches of Croatia this summer. ",,Zrće Beach,Novalja, Croatia,3,
4848 Festival 2025,https://www.musicfestivalwizard.com/festivals/4848-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2020/06/4848-Festival-Hero.jpg,2025-07-17,2025-07-19,"4848 Festival features 3-days and 3-nights, 2 main-stages, 20+ genre-busting bands, 32+ hours of live music, crowd performers, craft beer, delicious food and authentic craft vendors, scenic-lift rides, Festival Express Shuttles, Split Rock pools, zipline, climbing wall and Shavers Lake Activities including; swimming, paddle boats, canoes, kayaks, plus hiking trails, beach, and lake-side hammocks.",,Snowshoe Resort,Snowshoe,West Virginia,3,WV
Beaver Island Music Festival 2025,https://www.musicfestivalwizard.com/festivals/beaver-island-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/01/Beaver-Island-Music-Festival.jpg,2025-07-17,2025-07-19,"Beaver Island Music Festival promotes the variety and tradition of all music and art. They want to create opportunities for all artists, be an educational resource, and strongly encourage community and family involvement in an outdoor environment combining nature, renewable energies, music, and artwork. ",,Beaver Island Hideaway Campground,Beaver Island, Michigan,3,
Benicassim Festival (FIB) 2025,https://www.musicfestivalwizard.com/festivals/benicassim-festival-fib-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2012/01/FIBLogo1.png,2025-07-17,2025-07-19,"It's all about the music and the beach at The Festival Internacional de Benicàssim, or FIB as it's more commonly called. Nearby surf and sand is where festies spend the day on the shores of some of Spain's finest seaside spots. Bands usually start in the early evening and in Spanish fashion, the festival lasts until the morning catching artists like Beck, Radiohead, Kraftwerk, The Stone Roses, Brian Wilson, Blur, Lou Reed, Oasis, The Chemical Brothers, Franz Ferdinand, The Killers, Morrissey, Sigur Rós, and The Strokes.    ",,Costa Azahar,Benicassim, Spain,3,
Blastfest 2025,https://www.musicfestivalwizard.com/festivals/blastfest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/05/Blastfest-Featured-Image.jpg,2025-07-19,2025-07-19,"Introducing BLASTFEST, Seattle's first Afrobeats music festival! This one-day fest takes place at the iconic Space Needle Center and features some of the biggest names in Afrobeats.",,Space Needle Center,Seattle,Washington,3,WA
Brew Hee Haw 2025,https://www.musicfestivalwizard.com/festivals/brew-hee-haw-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/03/OC-Brew-Hee-Haw-FI.jpg,2025-07-18,2025-07-19,"The Brew Hee Haw is OC's 2 day summer party on opening weekend at the OC Fair. The festival features unlimited tastings of 100+ craft beers on tap, free fair admission, live music, and much more!",,OC Fair and Event Center,Costa Mesa,California,3,CA
Colours of Ostrava 2025,https://www.musicfestivalwizard.com/festivals/colours-of-ostrava-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/07/Colours_of_Ostrava_Logo.jpg,2025-07-16,2025-07-19,"Set in a venue filled with the remnants of blast furnaces, mines and ironworks, Colours of Ostrava fills this industrial complex with music and festies. Wander around the amazing grounds and check out some of the other offerings which include film, theater, workshops, discussions, and poetry. ",, Dolní Vítkovice,Ostrava, Czech,3,
Country Jam 2025,https://www.musicfestivalwizard.com/festivals/country-jam-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/08/Country_Jam_logo.jpg,2025-07-17,2025-07-19,Country Jam USA located in Eau Claire is one of the largest country music festivals in the world. ,,Country Jam USA,Eau Claire,Wisconsin,3,WI
Dominator Festival 2025,https://www.musicfestivalwizard.com/festivals/dominator-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/11/Dominator_Logo.jpg,2025-07-18,2025-07-19,"'A deafening sandstorm approaches with deadly speed. Seven extreme formations will compete for a tremendous trophy. Screaming engines, smoking exhausts and dreaded drivers will invade our savage sands. Hardcore will ignite its murdering machines in the desert of domination. Gasoline is gold when you enter…The Rally of Retribution.'",,E3 Strand,Eersel, Netherlands,4,
Escape to Coconino 2025,https://www.musicfestivalwizard.com/festivals/escape-to-coconino-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/05/Escape-to-Coconino-2025-Lineup-Poster-2.jpg,2025-07-18,2025-07-19,"A camping festival experience from Relentless Beats & R Entertainment in Flagstaff, AZ at Pepsi Amphitheater.",,Pepsi Amphitheatre,Flagstaff,Arizona,4,AZ
Fairwell Festival 2025,https://www.musicfestivalwizard.com/festivals/fairwell-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/12/Fairwell-Festival-Hero.jpg,2025-07-18,2025-07-19,"FairWell is a 3-day music festival featuring 36+ performances across 3 stages spotlighting the sounds of folk, blues, rock, country and soul.",,Deschutes County Fair & Expo Center,Redmond,Oregon,4,OR
G! Festival 2025,https://www.musicfestivalwizard.com/festivals/g-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/10/G_Festival_Logo.png,2025-07-17,2025-07-19,"For those of you looking to drop off the map of the music festival world, head out G! Festival, an intimate indie rock festival held in the Faroe Islands. The 400 person town of Syðrugøta hosts the three-day festival. ",,"Syðrugøta, Faroe Islands",Syðrugøta, Faroe Islands,4,
Gurtenfestival 2025,https://www.musicfestivalwizard.com/festivals/gurtenfestival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/01/Gurten_Festival_Logo.jpg,2025-07-16,2025-07-19,"Gurtenfestival is a rock and pop festival that takes place every July in Bern, Switzerland. ",,Gurten Park,Bern, Switzerland,4,
Harefest 2025,https://www.musicfestivalwizard.com/festivals/harefest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/11/Harefest-Logo.jpg,2025-07-17,2025-07-19,"Harefest is known as the mother of all tribute festivals with over 25 bands on 3 stages, delicious foods, onsite camping, and a giant party of rock n roll revelers at the clackamas county fairgrounds and event center.",,Clackamas County Fairgrounds and Event Center,Canby,Oregon,4,OR
Malakoff Festival 2025,https://www.musicfestivalwizard.com/festivals/malakoff-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/01/Malakoff-Festival-Hero.jpg,2025-07-18,2025-07-19,"Malakoff Festival out of Norway features 35 artists across 3 stages with 30,000 festies in attendance.  ",,Malakoff Park,Nordfjordeid, Norway,4,
